nome,endereco,estado,cpf,data,idade
Sr. Igor Campos,"fazenda ferreira, 849
lagoa
49587-081 vieira do norte / ap",TOCANTINS,183.502.746-62,1969-08-17,54
Maria Sophia Correia,"residencial alana dias, 51
vitoria
01961759 gomes de da cruz / to",TOCANTINS,948.731.065-75,1925-10-03,98
Bruno Da Cruz,"rua evelyn da cunha, 2
alta tensão 1ª seção
88048-422 da rocha do amparo / es",ESPÍRITO SANTO,293.415.687-73,2001-06-02,22
Amanda Cavalcanti,"fazenda de duarte, 99
são sebastião
38375-389 pires / ac",RORAIMA,351.698.247-00,1968-12-13,55
Bruno Melo,"trevo de da costa, 7
esplanada
45022-514 fernandes de costela / ac",RORAIMA,721.469.053-52,1965-06-26,58
Dra. Elisa Nunes,"vale erick moreira, 48
vila nova cachoeirinha 2ª seção
07868-934 da cunha / ap",RIO GRANDE DO NORTE,875.013.249-05,1989-01-12,35
Calebe Ramos,"parque de moraes, 36
gutierrez
82171525 peixoto de fernandes / to",RIO GRANDE DO SUL,942.816.307-40,1964-05-05,59
Sr. Arthur Moraes,"passarela lima, 87
jatobá
09721-169 viana alegre / rj",RORAIMA,306.927.841-87,1943-10-01,80
Júlia Silveira,"pátio vitor gabriel rocha
são joão batista
91484973 pereira da prata / sc",RIO DE JANEIRO,913.476.508-57,1950-11-18,73
Sra. Isabelly Silva,"rodovia agatha lopes, 7
vila são gabriel
31198992 da luz / df",PARÁ,732.568.049-00,1989-08-28,34
Dr. Otávio Azevedo,"aeroporto de ferreira, 2
santa helena
28302071 oliveira das flores / ce",PERNAMBUCO,457.821.069-30,1944-11-09,79
Maria Cecília Aragão,"trevo aragão, 535
salgado filho
51800-056 carvalho da prata / go",SÃO PAULO,264.571.809-49,1925-01-09,99
Noah Da Rosa,"avenida ferreira, 7
antonio ribeiro de abreu 1ª seção
17090-502 rodrigues / df",PERNAMBUCO,742.960.813-22,1965-05-02,58
Sra. Laura Azevedo,"viaduto marcelo ramos
universo
53602-558 cunha do galho / sp",RIO GRANDE DO NORTE,540.326.187-71,1986-06-16,37
Dr. Francisco Moreira,"núcleo silva, 7
jaraguá
74430032 silveira de goiás / ce",RONDÔNIA,702.483.165-08,1999-08-25,24
Mariane Das Neves,"rodovia de freitas, 782
parque são josé
53886812 das neves das flores / sc",PIAUÍ,912.546.308-05,1979-10-27,44
Enzo Monteiro,"quadra silveira, 76
joão paulo ii
90482-858 rezende dos dourados / mg",PIAUÍ,309.546.872-56,1990-09-15,33
Diego Da Rocha,"conjunto da rosa, 22
pindura saia
13568-214 ramos da serra / ms",PIAUÍ,093.845.726-83,1988-01-24,36
Ana Laura Da Cruz,"parque rodrigues
vila da amizade
99639-698 costa / ro",ESPÍRITO SANTO,798.526.104-49,1937-04-28,86
Ana Sophia Gomes,"lagoa porto, 44
unidas
73111211 alves / go",PERNAMBUCO,384.961.725-46,1979-07-27,44
Ana Laura Costa,"vila sales, 913
bela vitoria
24276968 monteiro / sp",RIO GRANDE DO SUL,502.176.894-85,1971-08-17,52
Felipe Souza,"setor peixoto, 47
palmeiras
57575529 da cruz / se",PARÁ,187.950.346-84,1968-09-30,55
Luana Novaes,"parque luiz gustavo da conceição, 34
santa margarida
94925-425 rodrigues alegre / rs",CEARÁ,287.430.169-87,1945-12-05,78
Sra. Yasmin Nogueira,"lago de rocha, 482
belmonte
74471-918 rocha da mata / pe",GOIÁS,360.925.841-15,1975-10-29,48
Benício Melo,"recanto maitê pereira
vila suzana primeira seção
94645-027 silva / df",RIO GRANDE DO NORTE,904.652.781-67,2002-12-07,21
Daniela Aragão,"feira otávio pereira, 93
piraja
78140-773 correia / rr",PARAÍBA,726.304.851-53,1965-07-06,58
Davi Luiz Sales,"trecho joão gabriel pires, 64
nova pampulha
61230820 souza da serra / rs",AMAPÁ,740.692.138-13,1979-07-24,44
Milena Souza,"praça de ribeiro, 9
santa inês
38053-049 azevedo / sp",BAHIA,904.358.126-70,1938-10-08,85
Maria Eduarda Ferreira,"passarela de caldeira
vila sesc
50710-500 cunha de dias / ap",RONDÔNIA,438.256.190-60,1949-09-28,74
Sr. Diogo Lima,"estrada danilo monteiro
conjunto califórnia ii
38793-887 da mata alegre / ba",MATO GROSSO,302.846.957-00,1994-12-06,29
Dr. Carlos Eduardo Araújo,"rodovia sophia rodrigues, 88
vila independencia 2ª seção
76814388 pires / rr",PARANÁ,496.802.735-47,1984-11-09,39
Marina Gomes,"lagoa souza
copacabana
16768543 monteiro / es",SANTA CATARINA,934.587.620-00,1925-12-25,98
Gustavo Henrique Duarte,"área ana sophia pereira, 32
minas caixa
69026-029 caldeira do oeste / to",MINAS GERAIS,254.130.968-60,2000-05-29,23
Caio Ramos,"viaduto de sales, 92
buraco quente
13458-643 nunes / al",PARAÍBA,832.941.657-73,1996-11-06,27
Rafael Nunes,"núcleo monteiro, 504
são bernardo
15990-096 porto / to",MATO GROSSO,462.971.358-19,1935-04-10,88
Enzo Gabriel Cardoso,"núcleo ribeiro
vila nova cachoeirinha 1ª seção
13917300 ferreira das flores / pe",SÃO PAULO,726.801.549-67,1987-01-26,37
Davi Cardoso,"praça ana júlia rezende, 38
vila coqueiral
41709963 silveira / pa",RIO GRANDE DO SUL,065.781.243-90,2005-07-25,18
Daniel Pires,"avenida bruna rodrigues, 724
diamante
12678-518 rezende do galho / es",PARAÍBA,274.530.968-47,1984-06-13,39
Brenda Da Mata,"pátio rocha, 75
havaí
43098627 da cunha / ac",CEARÁ,532.841.679-19,1980-02-29,44
Samuel Dias,"viaduto enzo gabriel moreira, 72
vila real 2ª seção
01069636 sales de goiás / ce",RIO GRANDE DO NORTE,852.910.634-24,1985-11-17,38
Gustavo Henrique Da Costa,"residencial ribeiro, 60
flamengo
74294090 ribeiro / ro",ALAGOAS,917.230.485-50,2005-03-08,19
Theo Fogaça,"travessa cardoso, 95
alta tensão 1ª seção
42836-344 lima / mt",ACRE,091.584.236-05,1975-06-26,48
Sra. Alexia Carvalho,"quadra lorenzo pires
vila olhos d'água
03485618 da rosa de correia / ac",RONDÔNIA,483.106.527-71,2000-03-31,24
Juliana Martins,"campo de souza
vila jardim são josé
04692667 carvalho / rr",BAHIA,432.807.956-56,1939-06-04,84
Luiz Gustavo Da Rosa,"via de da paz, 5
dona clara
30465-337 oliveira de goiás / al",PARANÁ,280.753.914-97,1938-06-09,85
Gabriela Freitas,"trevo carvalho, 9
grajaú
40077-715 moraes da serra / ba",RIO GRANDE DO NORTE,367.520.481-26,1994-03-10,30
Enzo Gabriel Vieira,"travessa novaes
boa vista
29032951 aragão / to",RIO DE JANEIRO,812.564.079-76,2002-01-28,22
Srta. Luna Nascimento,"passarela de nascimento, 916
joão paulo ii
86360-200 duarte do amparo / al",RIO DE JANEIRO,815.732.049-60,1954-06-13,69
Sophie Da Mata,"avenida de almeida, 78
vila atila de paiva
41400947 da cunha / al",MARANHÃO,971.238.045-97,1953-04-10,70
Clarice Alves,"avenida heloísa costa
cabana do pai tomás
54742254 cavalcanti / ac",MATO GROSSO,973.846.520-65,2001-12-02,22
Catarina Rodrigues,"núcleo farias, 97
lourdes
55915-124 gomes de souza / rr",PARANÁ,138.640.975-84,1939-11-26,84
Antônio Vieira,"favela de lopes, 473
lagoinha leblon
41398-890 peixoto / pr",SERGIPE,017.236.854-53,1934-10-25,89
Dr. Nicolas Da Conceição,"quadra mariana costela, 87
grajaú
64615642 ferreira / ba",RORAIMA,105.236.748-80,1998-06-04,25
Maria Alice Da Costa,"rua cardoso, 76
olhos d'água
25842688 barros alegre / ma",AMAPÁ,290.738.654-92,1936-02-17,88
Sr. Lucca Martins,"pátio paulo da rosa, 93
belvedere
57898-196 melo / to",TOCANTINS,906.435.128-70,1967-08-30,56
João Pedro Costa,"feira cardoso
conjunto minas caixa
88969-195 da mata / rn",CEARÁ,532.940.718-41,1955-09-12,68
Maitê Gonçalves,"distrito giovanna rodrigues, 37
marieta 3ª seção
62839-349 da mata / pr",ACRE,034.719.856-20,1926-09-20,97
Ana Laura Ferreira,"estrada de ramos
garças
28169898 santos das pedras / ro",PARANÁ,326.490.578-74,1952-01-29,72
Sabrina Da Mata,"viela de moraes, 56
vila maria
42762903 fogaça de goiás / ms",RIO GRANDE DO SUL,172.548.960-02,1994-01-31,30
Alexandre Das Neves,"área de novaes, 52
itapoa
66232412 fogaça do oeste / es",ACRE,183.904.625-24,1930-07-19,93
Isadora Da Cunha,"viaduto freitas, 622
jardim atlântico
10686-144 da rocha paulista / pe",MINAS GERAIS,471.928.063-31,1969-08-31,54
Dr. Luigi Fernandes,"distrito thomas pires, 77
bairro das indústrias ii
44279-855 da cunha / mt",AMAPÁ,834.265.197-55,1951-07-16,72
Sr. Yago Cavalcanti,"estrada melo
vila independencia 3ª seção
33664610 cardoso / am",AMAPÁ,758.901.423-05,1931-03-01,93
Carolina Peixoto,"loteamento dias, 21
camponesa 1ª seção
82741936 da rosa / rn",AMAZONAS,396.720.418-96,1960-06-26,63
Ana Lívia Porto,"colônia vieira, 6
milionario
96648865 moraes / se",MATO GROSSO DO SUL,067.412.835-44,1949-09-26,74
Henrique Da Mata,"aeroporto vinicius rezende, 18
conjunto são francisco de assis
55527-291 da paz do campo / pr",RIO DE JANEIRO,896.724.305-74,1990-12-25,33
Enrico Aragão,"praça almeida, 95
vila novo são lucas
69709-867 moraes / ap",BAHIA,490.851.376-75,1930-06-30,93
Milena Cavalcanti,"trecho kevin castro, 70
são geraldo
98131993 sales / pr",TOCANTINS,523.064.179-70,1998-09-15,25
Davi Lucca Melo,"passarela kamilly moreira, 704
cardoso
41864-156 da cunha / sp",GOIÁS,731.984.025-14,1928-02-22,96
Clarice Fernandes,"vereda jesus, 7
esplanada
50230404 teixeira verde / sp",PARÁ,192.763.485-73,1936-12-27,87
Dr. Luiz Fernando Das Neves,"viaduto de martins, 24
vila antena
55987-196 araújo do amparo / ro",CEARÁ,146.387.259-37,1966-02-21,58
Caio Azevedo,"largo cardoso, 23
vila nova gameleira 2ª seção
29717727 ferreira / al",SÃO PAULO,428.759.361-82,1951-03-04,73
Enrico Novaes,"vila heloísa barbosa, 666
conjunto são francisco de assis
19537340 farias / rn",PARÁ,457.692.038-38,1950-11-08,73
Ana Clara Moreira,"residencial de aragão
andiroba
91004-368 cardoso / sc",PIAUÍ,075.412.368-53,1936-12-15,87
Enrico Ribeiro,"loteamento lopes, 2
vila satélite
54279721 ramos da prata / ce",PARANÁ,965.734.108-66,1998-02-24,26
Evelyn Aragão,"estrada rebeca caldeira, 440
marçola
11027-170 freitas grande / go",ESPÍRITO SANTO,548.372.061-07,1938-04-19,85
Thales Moreira,"quadra farias
jardim guanabara
71294724 caldeira / ro",RORAIMA,406.135.728-07,1960-07-31,63
Heitor Mendes,"lagoa de farias
alta tensão 2ª seção
86838429 pires / al",AMAZONAS,097.426.351-61,1968-01-13,56
Sarah Nascimento,"largo de da costa, 400
vila jardim alvorada
20608-388 cardoso de cardoso / ce",RONDÔNIA,938.574.026-10,1983-05-14,40
Sra. Yasmin Melo,"loteamento almeida, 821
conjunto santa maria
15401946 nunes de goiás / to",PERNAMBUCO,510.274.968-49,2005-07-22,18
Sr. Marcelo Costela,"chácara clarice da costa, 135
cardoso
90569-230 da luz verde / ba",PIAUÍ,895.603.427-38,2000-08-16,23
Maria Cecília Araújo,"distrito nathan melo, 3
universitário
45685584 almeida / pa",MINAS GERAIS,752.943.601-52,1948-03-20,76
Enzo Gabriel Ribeiro,"recanto nunes, 87
vila união
40623-455 moura / ap",RORAIMA,965.231.708-02,1960-06-20,63
Miguel Da Rosa,"esplanada carvalho, 8
paulo vi
43997-378 correia / ce",GOIÁS,168.907.235-03,1980-04-24,43
Maria Vitória Ferreira,"lago lima, 6
providencia
64509-958 porto / sp",CEARÁ,914.863.027-69,2000-11-09,23
Sr. Vitor Gabriel Gomes,"vale costela, 49
jonas veiga
14400-610 nogueira / mt",ALAGOAS,348.902.157-60,1975-11-29,48
Bianca Pinto,"lagoa sales, 43
vila santa monica 2ª seção
48899443 jesus / al",GOIÁS,541.908.362-06,1943-05-29,80
Igor Melo,"viaduto nogueira
grota
13502920 ferreira do norte / ro",SÃO PAULO,519.307.648-39,1927-03-31,97
Sra. Vitória Carvalho,"jardim fernanda moura, 767
cdi jatoba
32504010 moreira dos dourados / am",MATO GROSSO,528.049.736-38,1989-02-20,35
Sofia Duarte,"morro isaac freitas, 543
vila nova cachoeirinha 2ª seção
97116686 costela / rr",RIO GRANDE DO NORTE,412.835.697-28,2005-07-09,18
Brenda Nogueira,"pátio de almeida, 4
mala e cuia
08990015 aragão da mata / to",AMAZONAS,160.294.358-33,1967-07-23,56
Rafael Fogaça,"setor de da rosa, 401
nova vista
61631-368 cavalcanti do amparo / sp",MARANHÃO,569.137.028-68,1931-03-04,93
Ana Nascimento,"chácara de martins, 14
nossa senhora do rosário
72885-747 moreira / rn",AMAPÁ,295.701.634-61,1951-11-22,72
Dr. Juan Da Rocha,"ladeira de da mota, 16
vila jardim leblon
67696-414 nascimento do amparo / mt",AMAZONAS,475.683.021-80,1949-10-02,74
Ana Laura Rocha,"sítio thomas rodrigues, 41
são damião
21922138 pinto / al",PIAUÍ,531.672.409-70,1992-01-11,32
Maria Alice Da Rocha,"travessa de correia, 46
guarani
34453-251 souza / ac",SÃO PAULO,906.324.817-22,1933-12-22,90
Elisa Lopes,"passarela alexandre da cunha
vila coqueiral
15467-423 cunha / rr",MATO GROSSO,790.412.658-30,1924-07-02,99
Davi Lucca Pereira,"jardim de barros, 16
vila califórnia
19490812 teixeira alegre / ce",AMAZONAS,597.038.421-60,1954-01-28,70
Marina Fogaça,"praça luiz henrique correia, 81
guaratã
57294-260 pereira / pe",GOIÁS,410.275.689-20,1962-04-07,61
Bernardo Ramos,"lagoa luiza gonçalves, 979
piratininga
04066541 da mata / se",AMAPÁ,105.689.243-98,1943-09-03,80
Ana Lívia Lopes,"parque de barbosa, 57
anchieta
16750-400 lima / go",CEARÁ,971.503.862-02,1960-11-10,63
Miguel Silva,"ladeira das neves, 9
nova floresta
61985548 carvalho do sul / pe",RONDÔNIA,920.437.568-00,1984-02-28,40
Sr. Arthur Da Cruz,"lago de cavalcanti
vila betânia
10086-430 nunes / to",SERGIPE,693.084.275-38,1940-06-24,83
Julia Da Mota,"feira nogueira, 68
santo antônio
23309816 da cunha do campo / to",RIO DE JANEIRO,571.402.968-20,1948-09-30,75
Agatha Rocha,"setor de dias
são benedito
48841767 sales da serra / rs",ALAGOAS,853.279.160-30,1971-11-01,52
Isabel Cardoso,"campo da mata, 42
morro dos macacos
65731-340 santos / mg",MATO GROSSO DO SUL,608.127.493-40,1928-08-11,95
Marcos Vinicius Moura,"parque dias, 687
paulo vi
49685-024 mendes / pr",RIO DE JANEIRO,451.293.876-19,1959-11-29,64
Levi Da Cunha,"colônia de viana, 6
pongelupe
67120-856 jesus alegre / se",ALAGOAS,718.469.350-75,1925-04-28,98
Cauã Vieira,"via da mata
bernadete
38006-140 campos / ro",PIAUÍ,427.103.569-61,1947-07-29,76
Maria Alice Ferreira,"praça de duarte, 194
guarani
14287-231 campos das flores / mt",AMAPÁ,105.239.746-80,1986-05-01,37
Dra. Isabelly Souza,"campo de moura, 60
primeiro de maio
96794431 martins grande / rn",DISTRITO FEDERAL,725.469.810-30,1990-05-23,33
Heitor Rezende,"área duarte, 628
conjunto lagoa
02753538 caldeira / rr",ACRE,174.689.053-39,1951-09-28,72
Maria Vitória Jesus,"sítio de moura, 13
paraíso
39110-733 souza do norte / rs",RORAIMA,493.861.520-70,1977-02-16,47
Emanuel Duarte,"rua de fogaça, 71
ouro preto
35703-947 da paz da mata / am",SANTA CATARINA,762.084.591-76,2003-02-23,21
Ian Lima,"rua de martins, 9
união
15652-188 castro / ac",RORAIMA,163.458.907-66,1937-07-05,86
Vitor Alves,"esplanada ana laura oliveira, 667
ribeiro de abreu
79395-958 farias das flores / df",DISTRITO FEDERAL,687.901.342-22,1996-06-13,27
Rafael Ramos,"esplanada almeida, 4
vila fumec
39123310 silveira grande / pr",ALAGOAS,946.581.073-84,1954-05-17,69
Ryan Da Cunha,"morro de cardoso
camponesa 2ª seção
49627-572 dias de da paz / go",SERGIPE,412.637.059-52,1937-11-04,86
Maria Da Cunha,"residencial de duarte
vila união
83800-181 jesus do sul / pe",RIO DE JANEIRO,539.201.486-06,1946-10-07,77
Srta. Milena Cardoso,"praça almeida, 71
capitão eduardo
13730300 ferreira dos dourados / rj",BAHIA,832.047.961-40,1958-03-07,66
Bryan Ramos,"praia costa, 35
jardim leblon
29456317 lopes / go",RORAIMA,043.619.582-89,1993-10-30,30
Luigi Santos,"via luigi peixoto, 61
são gabriel
48847273 porto da mata / ap",AMAPÁ,273.940.165-52,1987-01-04,37
Isabella Duarte,"estrada diogo da mata, 91
vila nova cachoeirinha 3ª seção
89436-034 vieira do oeste / pi",ESPÍRITO SANTO,023.856.714-17,1980-09-28,43
Sophie Azevedo,"rua kaique freitas, 8
universo
75626-745 barros / rr",AMAZONAS,214.796.580-49,1926-08-11,97
Matheus Carvalho,"viela de almeida
união
65843844 barbosa / rn",MINAS GERAIS,592.863.174-09,1963-08-31,60
Júlia Da Cruz,"lagoa joão pedro alves
das industrias i
30340295 oliveira de goiás / pb",GOIÁS,714.093.856-39,1930-02-12,94
Vitor Peixoto,"trevo de cardoso, 40
vale do jatoba
22565-264 da cunha do norte / rs",MATO GROSSO DO SUL,489.215.063-06,1947-07-24,76
Amanda Castro,"favela erick pereira, 672
vila copacabana
16489668 barros / am",RORAIMA,305.817.249-41,1980-04-05,43
Lucas Lima,"vale igor castro, 928
maravilha
19728761 pereira do oeste / ba",BAHIA,240.719.568-01,1932-06-16,91
Raquel Ramos,"vereda de costa, 27
madre gertrudes
11830634 gonçalves / rn",RORAIMA,052.793.146-25,1957-10-16,66
Dra. Rebeca Nascimento,"residencial nogueira, 954
vila oeste
79622-042 sales do norte / pb",TOCANTINS,431.987.625-37,1941-04-07,82
Theo Da Conceição,"fazenda maria ribeiro, 81
vila são paulo
48192917 silva / se",ACRE,846.571.329-46,1995-03-22,29
Thiago Da Cunha,"viela de aragão, 291
união
68336231 moraes de pires / rj",RONDÔNIA,631.409.258-24,1933-06-08,90
Davi Lucas Moreira,"estrada de da costa, 92
vila do pombal
01699471 nascimento de cavalcanti / pa",SERGIPE,169.854.207-02,1964-12-30,59
Helena Costela,"colônia de fogaça, 78
vila aeroporto jaraguá
63760-406 rezende da praia / ac",RORAIMA,950.372.681-68,1996-02-01,28
Beatriz Peixoto,"campo de moura, 904
alto caiçaras
12573-093 da costa de souza / pe",BAHIA,243.718.069-96,1943-04-11,80
Luigi Fernandes,"estação igor cunha, 21
pilar
56540380 peixoto / pb",RORAIMA,846.057.921-20,1976-02-02,48
Gabrielly Almeida,"estrada da conceição, 23
indaiá
00460-397 pires de pereira / ms",PARÁ,831.540.927-14,1958-01-11,66
Samuel Sales,"morro de costela, 73
vila da luz
54910873 da rosa / mg",RONDÔNIA,439.526.781-55,1948-08-19,75
Dr. Otávio Costa,"chácara da conceição, 2
juliana
64511082 campos das flores / ba",CEARÁ,095.216.837-59,1987-08-09,36
Srta. Ana Beatriz Da Mata,"feira de martins, 79
vitoria da conquista
46900111 campos alegre / pa",ALAGOAS,429.807.615-67,1933-01-28,91
João Rodrigues,"colônia duarte, 56
marmiteiros
09414-573 vieira de lopes / pe",PERNAMBUCO,594.081.276-76,1999-02-19,25
Nathan Farias,"travessa joana gonçalves, 44
lajedo
43222-218 barbosa / al",MATO GROSSO,521.097.438-32,1985-01-12,39
Dr. Rafael Pereira,"sítio isis campos, 81
distrito industrial do jatoba
70530-763 da cunha grande / ac",AMAPÁ,581.967.342-55,1967-07-15,56
Júlia Pereira,"lagoa santos
petropolis
36901-640 da cunha / mt",BAHIA,871.263.590-12,1995-02-08,29
Dra. Laura Barbosa,"ladeira de moura, 84
nova suíça
58827544 almeida de da mota / rr",MINAS GERAIS,031.769.482-04,1956-12-23,67
Juliana Pinto,"rodovia sales, 21
vila canto do sabiá
79051-262 mendes / pi",RIO GRANDE DO SUL,385.410.967-93,1953-12-18,70
Joana Monteiro,"parque de costela, 668
aguas claras
24355112 duarte / to",ACRE,138.960.745-39,1968-09-29,55
Dr. Yago Da Rocha,"fazenda cavalcanti, 859
alto barroca
69950997 rezende de goiás / mt",RONDÔNIA,698.157.432-28,1948-06-15,75
Miguel Nogueira,"quadra de ferreira
cenaculo
49974-369 barbosa alegre / pi",PIAUÍ,869.312.407-22,1967-07-12,56
Isadora Da Rocha,"via igor da mata, 81
laranjeiras
85218769 correia / es",AMAPÁ,725.134.690-70,1929-02-20,95
Clara Costela,"trevo joão pedro araújo, 7
sagrada família
68500851 cardoso do amparo / df",ALAGOAS,380.179.245-50,1942-07-13,81
Dr. Enzo Gabriel Rocha,"condomínio da cunha, 4
unidas
30425743 barbosa / pa",ALAGOAS,473.526.019-61,1962-04-03,62
Maysa Monteiro,"parque henrique teixeira, 32
grotinha
57134822 cunha do sul / rr",SANTA CATARINA,615.387.024-44,1929-10-27,94
Maria Alice Da Rosa,"vereda silveira, 8
bom jesus
17672142 costa paulista / rr",PARAÍBA,710.863.549-66,1994-05-09,29
Maysa Lopes,"avenida de araújo, 28
esplanada
01624-960 silva verde / rs",MATO GROSSO,196.075.284-76,1963-05-30,60
Srta. Yasmin Jesus,"fazenda letícia costela, 6
petropolis
61073-640 cardoso do campo / am",PARÁ,586.104.732-44,1932-05-28,91
Mariana Costela,"campo peixoto, 75
independência
20101298 sales / sc",RIO GRANDE DO NORTE,372.684.905-00,1985-11-09,38
Clara Almeida,"parque eloah costa, 91
são geraldo
63810102 da cunha / rs",ALAGOAS,842.609.735-92,1988-11-23,35
Sofia Aragão,"rua de santos, 955
ambrosina
57866655 silveira de costela / rs",MATO GROSSO DO SUL,687.231.504-08,1988-08-13,35
Elisa Barros,"estrada sales, 13
jardim felicidade
75253131 silveira grande / rn",ESPÍRITO SANTO,546.180.379-20,1997-01-19,27
Joana Silva,"chácara miguel fogaça
laranjeiras
52800515 souza verde / pe",PERNAMBUCO,349.051.867-57,1999-09-19,24
Lorenzo Porto,"avenida de araújo, 1
nossa senhora da aparecida
80268064 farias do norte / go",MINAS GERAIS,812.943.670-13,1960-05-14,63
Vitória Barbosa,"vale de monteiro, 267
marieta 2ª seção
18778381 rocha de novaes / es",SÃO PAULO,583.672.910-77,1976-10-19,47
Alícia Da Rosa,"trecho luana barros, 338
santa maria
59886-064 oliveira dos dourados / mg",MARANHÃO,035.689.421-51,1940-04-05,83
Lucas Monteiro,"parque enzo almeida, 62
piratininga
40855025 mendes de cardoso / ac",ALAGOAS,739.164.508-75,1926-12-11,97
Rodrigo Caldeira,"condomínio joana lima
piratininga
68175-021 aragão / mt",BAHIA,816.723.954-37,1976-12-22,47
Luna Rezende,"esplanada matheus da costa, 90
paulo vi
45629272 da cunha do sul / rn",RORAIMA,456.197.830-57,1972-05-21,51
Diogo Rezende,"residencial novaes, 84
vila da amizade
20541475 souza / pi",BAHIA,680.419.253-24,1943-12-01,80
Anthony Da Costa,"praia ian da mota, 383
nova cintra
10778-914 azevedo / ro",SANTA CATARINA,805.693.271-21,1959-01-09,65
Maria Cecília Vieira,"rodovia emanuel da cruz
nova esperança
55412380 barbosa / pe",AMAZONAS,716.239.854-55,1965-07-10,58
Sra. Maria Julia Novaes,"ladeira da cruz, 635
coqueiros
88216574 cavalcanti da serra / ba",PARAÍBA,019.487.625-01,1981-04-27,42
João Pedro Peixoto,"trecho cavalcanti, 3
acaba mundo
20198027 cardoso / pr",ACRE,243.158.976-55,1960-02-10,64
Alana Fernandes,"estação rocha, 975
marieta 2ª seção
56651-581 cavalcanti de silveira / sc",TOCANTINS,198.257.643-09,1976-08-29,47
Sra. Mirella Rezende,"vale de cavalcanti, 98
vila havaí
39064-438 da mota / es",ACRE,247.910.538-50,1973-08-29,50
Gabrielly Moreira,"lago caldeira, 363
barão homem de melo 1ª seção
77549-927 cardoso / am",MATO GROSSO,608.432.751-62,1971-09-18,52
Sra. Sofia Souza,"vila gomes, 366
serra
76107-117 da costa / pb",GOIÁS,605.384.719-48,1933-06-14,90
Mariane Melo,"rodovia ana beatriz cardoso, 97
etelvina carneiro
35020-490 da costa grande / pr",SANTA CATARINA,735.619.820-77,1949-12-16,74
Lorena Souza,"vereda sales, 83
ouro minas
23049-591 da mata / al",AMAPÁ,048.652.197-49,1987-06-15,36
Fernando Da Mata,"ladeira clara da cruz, 37
aparecida 7ª seção
12075780 mendes de pires / pb",PIAUÍ,280.156.437-08,1996-06-30,27
Laura Cardoso,"setor de costa, 1
nova america
31050205 da conceição / es",ALAGOAS,821.405.736-17,1994-04-26,29
Marina Da Cruz,"avenida castro, 718
santo agostinho
39257-743 sales paulista / pe",PIAUÍ,724.183.650-26,1972-06-21,51
Maria Rocha,"recanto isabel da conceição, 6
vila madre gertrudes 4ª seção
17777517 dias / rs",MATO GROSSO DO SUL,163.247.980-03,1984-11-02,39
Pedro Henrique Almeida,"núcleo de rodrigues, 95
maria virgínia
67632-408 jesus / am",AMAPÁ,318.764.950-57,1977-08-25,46
Dr. Davi Luiz Nunes,"setor de barros, 58
vila ouro minas
24854-759 rodrigues / sp",AMAPÁ,604.579.123-16,1935-08-19,88
Vitor Gabriel Costela,"praia pietra caldeira, 60
túnel de ibirité
60413-374 da mota dos dourados / go",MATO GROSSO DO SUL,175.409.326-43,1967-04-15,56
Dr. Luigi Barbosa,"quadra yasmin caldeira, 4
salgado filho
37428997 moreira do galho / pe",DISTRITO FEDERAL,641.739.085-39,1924-11-24,99
Rodrigo Azevedo,"praia de nogueira
califórnia
47799937 rodrigues / es",MINAS GERAIS,687.410.953-75,2001-12-06,22
Pedro Henrique Cardoso,"rua de castro, 65
vila jardim são josé
53839-720 fernandes paulista / pa",ESPÍRITO SANTO,324.017.958-04,1973-05-31,50
Sr. João Cardoso,"pátio antônio da mota, 79
maria virgínia
80967-589 da luz / pr",GOIÁS,032.758.964-74,2005-03-03,19
Maria Julia Nunes,"setor de ferreira
lorena
53700673 da luz / rn",MATO GROSSO,381.756.402-35,1947-10-09,76
Fernanda Duarte,"vereda da rocha, 6
bandeirantes
97565092 rodrigues do galho / ma",AMAZONAS,453.216.980-15,2000-10-31,23
Marcos Vinicius Oliveira,"parque de azevedo, 8
lagoinha leblon
23921-386 alves / al",MATO GROSSO DO SUL,280.153.796-95,1943-03-02,81
Leandro Aragão,"campo gabriela rodrigues, 9
piraja
67344423 porto do amparo / ac",RONDÔNIA,124.573.098-32,1924-10-17,99
Maria Alice Vieira,"via nogueira, 82
andiroba
03233-852 moraes / se",ALAGOAS,832.506.714-44,1955-05-04,68
Ana Luiza Jesus,Endereço não informado!!,BAHIA,541.896.327-91,1958-06-14,65
Guilherme Cardoso,"trevo nicole da cruz, 7
conjunto providencia
11509884 cavalcanti de minas / rs",SANTA CATARINA,197.582.630-21,1952-03-27,72
Luiz Felipe Azevedo,"campo erick fernandes, 464
são benedito
76887327 campos de mendes / ac",RIO GRANDE DO NORTE,439.160.725-52,1975-03-19,49
Nathan Araújo,"quadra de martins
nazare
23016-369 oliveira de minas / am",PARANÁ,813.402.695-89,1963-06-14,60
Clara Ferreira,"fazenda de ferreira, 76
conjunto paulo vi
54239086 nunes / ms",GOIÁS,467.319.852-28,1945-01-22,79
Felipe Da Mata,"estrada gabrielly rocha, 634
ouro minas
95202077 viana / pa",RONDÔNIA,634.920.187-69,1938-12-02,85
Enzo Gabriel Azevedo,"estação cardoso, 175
barão homem de melo 1ª seção
09804148 gonçalves do galho / sc",PARÁ,789.531.604-48,1956-04-27,67
Maitê Barbosa,"estrada duarte, 37
marmiteiros
24369771 ribeiro do galho / ms",DISTRITO FEDERAL,231.648.705-07,2003-05-18,20
